"ID","Age","Gender","Education","Race","Income","Health","PRAC1","PRAC2","PRAC3","X0_5_95","X0_10_90","X0_15_85","X0_20_80","X0_25_75","X0_30_70","X0_35_65","X0_40_60","X0_45_55","CATCH1","CATCH2","X0.5_5_95","X0.5_10_90","X0.5_15_85","X0.5_20_80","X0.5_25_75","X0.5_30_70","X0.5_35_65","X0.5_40_60","X0.5_45_55","CATCH1.1","CATCH2.1","n0.5_5_95","n0.5_10_90","n0.5_15_85","n0.5_20_80","n0.5_25_75","n0.5_30_70","n0.5_35_65","n0.5_40_60","n0.5_45_55","CATCH1.2","CATCH2.2","X5_5_95","X5_10_90","X5_15_85","X5_20_80","X5_25_75","X5_30_70","X5_35_65","X5_40_60","X5_45_55","CATCH1.3","CATCH2.3","n5_5_95","n5_10_90","n5_15_85","n5_20_80","n5_25_75","n5_30_70","n5_35_65","n5_40_60","n5_45_55","CATCH1.4","CATCH2.4","Q241","Q243","Q245","Q247","Q249","Q251","Q173","Q174","Q175","Q176","Q177","Q177_5_TEXT","Q178","Q179","Q179_6_TEXT","Q11","Q13","Q15","Q17","Q19","Q21","Q23","Q25","Q27","Q199_1","Q199_2","Q199_3","Q199_4","Q199_5","Q199_6","Q201_1","Q201_2","Q201_3","Q201_4","Q201_5","Q201_6","Q203_1","Q203_2","Q203_3","Q203_4","Q203_5","Q203_6","Q204_1","Q204_2","Q204_3","Q204_4","Q204_5","Q204_6","Q211","Q213","Q215","Q217","Q219","Q221","Q223","Q225_1","Q225_2","Q227","Q229","Q231","Q233","Q235","Q237","Q224","Q226","Q228","Q230","Q232","Q234","Q236","Q238","Q240","Q242","Q245.1"
1,72,"1","6","1","10","4","1","2","2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2","2","2","2","2","2","2","2","2","1","2","","","","","","","","","","","","3","4","4","4","4","4","1","10","50000","1","1","","2","2","","4","4","3","2","","","","","","4","2","4","2","4","2","3","3","4","4","3","4","2","2","3","3","2","4","2","4","2","4","4","2","500","10","1","3","2","2","2","10","100","80","5","1","10%","64","3","4","4","4","4","4","4","4","4","4","4","11/11/46"
2,55,"2","5","2","7","5","1","1","2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2","1","1","1","1","1","1","1","1","1","1","","","","","","","","","","","","4","4","4","4","4","4","1","2","500","4","2","","2","6","was a friend","4","3","3","2","","","","","","4","2","4","3","4","1","2","2","2","4","2","3","1","1","4","4","4","4","1","3","1","4","4","5","8","40","40","2","1","2%","1 n 10","2","3","40","1","1","none","3","2","3","4","4","3","3","3","3","3","3","3","11/19/63"
3,44,"1","3","3","16","3","1","1","2","2","2","2","2","1","1","1","1","1","1","2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","4","4","4","4","4","4","1","3","30000","2","1","","2","2","","5","2","6","1","5","3","","1","","4","2","3","3","3","3","2","4","2","3","2","4","2","3","3","3","1","4","2","4","2","4","2","2","500","1","1","3","2","2","50","10","1","80","5","1","90","128","1","4","4","4","4","4","4","4","5","3","3","5/25/75"
4,71,"1","5","1","9","4","1","2","2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1","1","2","1","1","1","1","2","2","1","2","","","","","","","","","","","","2","4","2","2","4","4","1","5","1000","1","1","","2","2","","6","2","6","2","","","","","","3","2","3","2","4","3","2","3","2","3","1","4","2","3","3","3","1","4","1","4","1","5","2","1","50","10","1","3","2","2%","2 in 100","10","100","80 out of 100","5","1","10%","64","3","5","5","5","5","5","5","5","4","3","3","4/29/48"
5,38,"2","4","1","7","3","1","1","2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1","2","2","2","2","2","1","1","1","1","2","4","4","4","4","4","4","1","1","5","2","3","","2","2","","2","4","3","2","","","","","","2","3","2","4","3","3","2","2","2","2","2","4","2","3","2","2","2","3","2","3","2","3","2","2","500","10","0.1","3","2","2%","2 in 100","10","100","80","0.01","1","0.18","64","1","4","4","4","4","5","4","5","5","4","4","4/24/81"
6,50,"1","4","1","16","3","2","1","2","","","","","","","","","","","","1","1","1","1","1","1","1","1","1","1","2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2","4","4","3","4","3","1","3","8000","3","2","","2","4","","3","2","6","2","","","","","","2","3","2","3","3","3","2","3","3","3","2","4","2","3","3","3","2","5","2","3","1","5","2","2","500","10","0.1","3","2","2%","2%","10","100","80","5","1","10","64","1","4","4","4","4","4","4","5","5","4","4","1/17/69"
7,70,"2","2","1","10","5","2","2","2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2","2","2","2","2","2","2","2","2","1","2","","","","","","","","","","","","5","5","5","5","5","5","1","1","200","1","1","","2","3","","4","4","4","2","","","","","","5","2","5","2","5","2","5","3","4","4","2","3","2","2","2","3","2","4","2","4","1","5","5","1","10","1","1","3","2","20","20","1","10","20","0.1","1","10","20","3","4","4","4","4","4","4","5","4","5","5","2/15/49"
8,77,"1","6","1","14","3","1","2","2","","","","","","","","","","","","","","","","","","","","","","","2","2","2","2","2","2","2","2","2","1","2","","","","","","","","","","","","","","","","","","","","","","","3","3","4","4","2","2","1","2","1000","4","3","","2","2","","1","4","6","2","","","","","","3","3","2","3","2","4","2","4","3","3","3","4","2","3","2","2","2","3","1","2","1","3","3","2","500","10","0.1","3","2","2%","2%","10","100","80%","5","1","90%","64","2","6","6","6","6","6","6","6","5","3","5","4/29/42"
9,39,"1","6","1","15","4","1","2","2","2","2","2","2","1","1","2","2","1","1","2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","4","3","4","4","4","4","1","5","5000","4","2","","2","2","","6","3","6","2","","","","","","4","3","3","3","3","3","3","2","3","3","3","3","3","3","3","2","2","3","2","3","2","3","3","3","500","10","0.1","3","2","2","2 in 100","10","100","20","5","1","18","64","2","4","4","4","4","4","4","4","4","4","4","9/26/79"
10,53,"1","4","1","15","4","1","1","1","","","","","","","","","","","","2","2","2","2","2","2","2","2","2","1","2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2","4","3","4","5","5","1","33","2200","2","2","","2","1","","4","4","3","2","","","","","","4","2","4","3","4","2","3","2","2","3","2","2","3","3","3","3","2","3","2","3","3","3","2","2","500","1","0","3","2","2%","2 in 100 or 1 in 50","10","100","80%","0.5","1","20%","64","1","5","5","6","5","5","4","4","4","4","4","7/9/66"
