"Variable","Variable Names","Measurement Units","Allowed Values","Question","Description of Variable"
"ID","ID","integer","1-209","0",""
"Age","Age","integer","22-85","What is your age?","Age in years"
"Gender","Gender","integer","1-2","Are you male or female?","1 = Male, 2 = Female"
"Education","Education","integer","1-6","What is the highest level of education you've completed?","1 = Middle School, 2 = High School Diploma, 3 = Some College, 
4 = Bachelor's Degree, 5 = Master's Degree, 6 = Doctoral Degree"
"Race","Race","integer","1-8","What is your race/ethnicity?","1 = White/Caucasian, 2 = Black/African American, 3 = Asian, 4 = Hispanic/Latino, 
5 = American Indian/Alaska Native, 6 = Pacific Islander, 7 = Multiracial, 8 = Other"
"Income","Income","integer","1-16","What was your total household income last year?  (If a student, select your approximate family income)","1 = less than $10,000, 2 = $10,000-$19,999, 
3 = $20,000-$29,999, 4 = $30,000-$39,999, 5 = $40,000-$49,999, 6 = $50,000-$59,999, 7 = $60,000-$69,999, 
8 = $70,000-$79,999, 9 = $80,000-$89,999, 10 = $90,000-$99,999, 11 = $100,000-$109,999, 12 = $110,000-$119,999, 
13 = $120,000-$129,999, 14 = $130,000-$139,999, 15 = $140,000-$149,999, 16 = $150,000 or more"
"Health","Health","integer","1-5","How do you feel about your general physical health these days?","1 = Not healthy at all, 5 = Very healthy"
"PRAC1","Practice 1","integer","1-2","Which gamble would you like to choose?","1 = symmetric gamble, 2 = skewed gamble"
"PRAC2","Practice 2","integer","1-2","Which gamble would you like to choose?","1 = symmetric gamble, 2 = skewed gamble"
"PRAC3","Practice 3","integer","1-2","Which gamble would you like to choose?","1 = symmetric gamble, 2 = skewed gamble"
"X0_5_95","0_EV_5_95_Gamble","integer","1-2","Which gamble would you like to choose?","1 = symmetric gamble, 2 = skewed gamble"
"X0_10_90","0_EV_10_90_Gamble","integer","1-2","Which gamble would you like to choose?","1 = symmetric gamble, 2 = skewed gamble"
"X0_15_85","0_EV_15_85_Gamble","integer","1-2","Which gamble would you like to choose?","1 = symmetric gamble, 2 = skewed gamble"
"X0_20_80","0_EV_20_80_Gamble","integer","1-2","Which gamble would you like to choose?","1 = symmetric gamble, 2 = skewed gamble"
"X0_25_75","0_EV_25_75_Gamble","integer","1-2","Which gamble would you like to choose?","1 = symmetric gamble, 2 = skewed gamble"
"X0_30_70","0_EV_30_70_Gamble","integer","1-2","Which gamble would you like to choose?","1 = symmetric gamble, 2 = skewed gamble"
"X0_35_65","0_EV_35_65_Gamble","integer","1-2","Which gamble would you like to choose?","1 = symmetric gamble, 2 = skewed gamble"
"X0_40_60","0_EV_40_60_Gamble","integer","1-2","Which gamble would you like to choose?","1 = symmetric gamble, 2 = skewed gamble"
"X0_45_55","0_EV_45_55_Gamble","integer","1-2","Which gamble would you like to choose?","1 = symmetric gamble, 2 = skewed gamble"
"CATCH1","Catch_1","integer","1-2","Which gamble would you like to choose?","1 = symmetric gamble, 2 = skewed gamble"
"CATCH2","Catch_2","integer","1-2","Which gamble would you like to choose?","1 = symmetric gamble, 2 = skewed gamble"
"X0.5_5_95","0.5_EV_5_95_Gamble","integer","1-2","Which gamble would you like to choose?","1 = symmetric gamble, 2 = skewed gamble"
"X0.5_10_90","0.5_EV_10_90_Gamble","integer","1-2","Which gamble would you like to choose?","1 = symmetric gamble, 2 = skewed gamble"
"X0.5_15_85","0.5_EV_15_85_Gamble","integer","1-2","Which gamble would you like to choose?","1 = symmetric gamble, 2 = skewed gamble"
"X0.5_20_80","0.5_EV_20_80_Gamble","integer","1-2","Which gamble would you like to choose?","1 = symmetric gamble, 2 = skewed gamble"
"X0.5_25_75","0.5_EV_25_75_Gamble","integer","1-2","Which gamble would you like to choose?","1 = symmetric gamble, 2 = skewed gamble"
"X0.5_30_70","0.5_EV_30_70_Gamble","integer","1-2","Which gamble would you like to choose?","1 = symmetric gamble, 2 = skewed gamble"
"X0.5_35_65","0.5_EV_35_65_Gamble","integer","1-2","Which gamble would you like to choose?","1 = symmetric gamble, 2 = skewed gamble"
"X0.5_40_60","0.5_EV_40_60_Gamble","integer","1-2","Which gamble would you like to choose?","1 = symmetric gamble, 2 = skewed gamble"
"X0.5_45_55","0.5_EV_45_55_Gamble","integer","1-2","Which gamble would you like to choose?","1 = symmetric gamble, 2 = skewed gamble"
"CATCH1.1","Catch_3","integer","1-2","Which gamble would you like to choose?","1 = symmetric gamble, 2 = skewed gamble"
"CATCH2.1","Catch_4","integer","1-2","Which gamble would you like to choose?","1 = symmetric gamble, 2 = skewed gamble"
"n0.5_5_95","n0.5_EV_5_95_Gamble","integer","1-2","Which gamble would you like to choose?","1 = symmetric gamble, 2 = skewed gamble"
"n0.5_10_90","n0.5_EV_10_90_Gamble","integer","1-2","Which gamble would you like to choose?","1 = symmetric gamble, 2 = skewed gamble"
"n0.5_15_85","n0.5_EV_15_85_Gamble","integer","1-2","Which gamble would you like to choose?","1 = symmetric gamble, 2 = skewed gamble"
"n0.5_20_80","n0.5_EV_20_80_Gamble","integer","1-2","Which gamble would you like to choose?","1 = symmetric gamble, 2 = skewed gamble"
"n0.5_25_75","n0.5_EV_25_75_Gamble","integer","1-2","Which gamble would you like to choose?","1 = symmetric gamble, 2 = skewed gamble"
"n0.5_30_70","n0.5_EV_30_70_Gamble","integer","1-2","Which gamble would you like to choose?","1 = symmetric gamble, 2 = skewed gamble"
"n0.5_35_65","n0.5_EV_35_65_Gamble","integer","1-2","Which gamble would you like to choose?","1 = symmetric gamble, 2 = skewed gamble"
"n0.5_40_60","n0.5_EV_40_60_Gamble","integer","1-2","Which gamble would you like to choose?","1 = symmetric gamble, 2 = skewed gamble"
"n0.5_45_55","n0.5_EV_45_55_Gamble","integer","1-2","Which gamble would you like to choose?","1 = symmetric gamble, 2 = skewed gamble"
"CATCH1.2","Catch_5","integer","1-2","Which gamble would you like to choose?","1 = symmetric gamble, 2 = skewed gamble"
"CATCH2.2","Catch_6","integer","1-2","Which gamble would you like to choose?","1 = symmetric gamble, 2 = skewed gamble"
"X5_5_95","5_EV_5_95_Gamble","integer","1-2","Which gamble would you like to choose?","1 = symmetric gamble, 2 = skewed gamble"
"X5_10_90","5_EV_10_90_Gamble","integer","1-2","Which gamble would you like to choose?","1 = symmetric gamble, 2 = skewed gamble"
"X5_15_85","5_EV_15_85_Gamble","integer","1-2","Which gamble would you like to choose?","1 = symmetric gamble, 2 = skewed gamble"
"X5_20_80","5_EV_20_80_Gamble","integer","1-2","Which gamble would you like to choose?","1 = symmetric gamble, 2 = skewed gamble"
"X5_25_75","5_EV_25_75_Gamble","integer","1-2","Which gamble would you like to choose?","1 = symmetric gamble, 2 = skewed gamble"
"X5_30_70","5_EV_30_70_Gamble","integer","1-2","Which gamble would you like to choose?","1 = symmetric gamble, 2 = skewed gamble"
"X5_35_65","5_EV_35_65_Gamble","integer","1-2","Which gamble would you like to choose?","1 = symmetric gamble, 2 = skewed gamble"
"X5_40_60","5_EV_40_60_Gamble","integer","1-2","Which gamble would you like to choose?","1 = symmetric gamble, 2 = skewed gamble"
"X5_45_55","5_EV_45_55_Gamble","integer","1-2","Which gamble would you like to choose?","1 = symmetric gamble, 2 = skewed gamble"
"CATCH1.3","Catch_7","integer","1-2","Which gamble would you like to choose?","1 = symmetric gamble, 2 = skewed gamble"
"CATCH2.3","Catch_8","integer","1-2","Which gamble would you like to choose?","1 = symmetric gamble, 2 = skewed gamble"
"n5_5_95","n5_EV_5_95_Gamble","integer","1-2","Which gamble would you like to choose?","1 = symmetric gamble, 2 = skewed gamble"
"n5_10_90","n5_EV_10_90_Gamble","integer","1-2","Which gamble would you like to choose?","1 = symmetric gamble, 2 = skewed gamble"
"n5_15_85","n5_EV_15_85_Gamble","integer","1-2","Which gamble would you like to choose?","1 = symmetric gamble, 2 = skewed gamble"
"n5_20_80","n5_EV_20_80_Gamble","integer","1-2","Which gamble would you like to choose?","1 = symmetric gamble, 2 = skewed gamble"
"n5_25_75","n5_EV_25_75_Gamble","integer","1-2","Which gamble would you like to choose?","1 = symmetric gamble, 2 = skewed gamble"
"n5_30_70","n5_EV_30_70_Gamble","integer","1-2","Which gamble would you like to choose?","1 = symmetric gamble, 2 = skewed gamble"
"n5_35_65","n5_EV_35_65_Gamble","integer","1-2","Which gamble would you like to choose?","1 = symmetric gamble, 2 = skewed gamble"
"n5_40_60","n5_EV_40_60_Gamble","integer","1-2","Which gamble would you like to choose?","1 = symmetric gamble, 2 = skewed gamble"
"n5_45_55","n5_EV_45_55_Gamble","integer","1-2","Which gamble would you like to choose?","1 = symmetric gamble, 2 = skewed gamble"
"CATCH1.4","Catch_9","integer","1-2","Which gamble would you like to choose?","1 = symmetric gamble, 2 = skewed gamble"
"CATCH2.4","Catch_10","integer","1-2","Which gamble would you like to choose?","1 = symmetric gamble, 2 = skewed gamble"
"Q241","Strategy_1","integer","1-5","I tried to solve the task on a gut level.","1 = Strongly Disagree, 2 = Somewhat Disagree, 3 = 
Neutral, 4 = Somewhat Agree, 5 = Strongly Agree"
"Q243","Strategy_2","integer","1-5","I tried to solve the task mathematically.","1 = Strongly Disagree, 2 = Somewhat Disagree, 3 = 
Neutral, 4 = Somewhat Agree, 5 = Strongly Agree"
"Q245","Strategy_3","integer","1-5","I tried to solve the task by focusing on how much money I could win.","1 = Strongly Disagree, 2 = Somewhat Disagree, 3 = 
Neutral, 4 = Somewhat Agree, 5 = Strongly Agree"
"Q247","Strategy_4","integer","1-5","I tried to solve the task by focusing on how much money I could lose.","1 = Strongly Disagree, 2 = Somewhat Disagree, 3 = 
Neutral, 4 = Somewhat Agree, 5 = Strongly Agree"
"Q249","Strategy_5","integer","1-5","I tried to solve the task by focusing on how likely it was that I would win.","1 = Strongly Disagree, 2 = Somewhat Disagree, 3 = 
Neutral, 4 = Somewhat Agree, 5 = Strongly Agree"
"Q251","Strategy_6","integer","1-5","I tried to solve the task by focusing on how likely it was that I would lose.","1 = Strongly Disagree, 2 = Somewhat Disagree, 3 = 
Neutral, 4 = Somewhat Agree, 5 = Strongly Agree"
"Q173","Investment_1","integer","1-2","Have you ever made an investment where you lost some or all of the money you invested?","1 = Yes, 2 = No"
"Q174","Investment_2","character","Positive integers","If yes, how many times did this happen?",""
"Q175","Investment_3","factor","Monetary amount","How much money did you lose in dollars (even if you were later reimbursed)?",""
"Q176","Investment_4","character","1-5","How long ago did you make the most recent investment?","1 = Less than a year ago, 2 = 1-3 years ago, 3 = 4-5 years ago, 
4 = More than 5 years ago, 5 = Don't know/can't remember"
"Q177","Investment_5","integer","1-5","Which statement below best describes why you lost money? - Selected Choice"," 1 = I just made a bad investment, 
2 = The market took a downward turn, 
3 = I didn'tknow enough about the type of investment I was making, 
4 = I was misled or defrauded by the person or organization that sold me the investment, 
5 = Other"
"Q177_5_TEXT","Investment_6","character","Text","Which statement below best describes why you lost money? - Other: - Text","This is the explanatory text they completed if they chose other on the previous quesiton."
