Q1,Q2,Age,Gender,Education,Race,Income,Health,PRAC1,PRAC2,PRAC3,0_5_95,0_10_90,0_15_85,0_20_80,0_25_75,0_30_70,0_35_65,0_40_60,0_45_55,CATCH1,CATCH2,0.5_5_95,0.5_10_90,0.5_15_85,0.5_20_80,0.5_25_75,0.5_30_70,0.5_35_65,0.5_40_60,0.5_45_55,CATCH1,CATCH2,n0.5_5_95,n0.5_10_90,n0.5_15_85,n0.5_20_80,n0.5_25_75,n0.5_30_70,n0.5_35_65,n0.5_40_60,n0.5_45_55,CATCH1,CATCH2,5_5_95 ,5_10_90,5_15_85,5_20_80,5_25_75,5_30_70,5_35_65,5_40_60,5_45_55,CATCH1,CATCH2,n5_5_95,n5_10_90,n5_15_85,n5_20_80,n5_25_75,n5_30_70,n5_35_65,n5_40_60,n5_45_55,CATCH1,CATCH2,Q241,Q243,Q245,Q247,Q249,Q251,Q173,Q174,Q175,Q176,Q177,Q177_5_TEXT,Q178,Q179,Q179_6_TEXT,Q11,Q13,Q15,Q17,Q19,Q21,Q23,Q25,Q27,Q199_1,Q199_2,Q199_3,Q199_4,Q199_5,Q199_6,Q201_1,Q201_2,Q201_3,Q201_4,Q201_5,Q201_6,Q203_1,Q203_2,Q203_3,Q203_4,Q203_5,Q203_6,Q204_1,Q204_2,Q204_3,Q204_4,Q204_5,Q204_6,Q211,Q213,Q215,Q217,Q219,Q221,Q223,Q225_1,Q225_2,Q227,Q229,Q231,Q233,Q235,Q237,Q224,Q226,Q228,Q230,Q232,Q234,Q236,Q238,Q240,Q242,Q245,SC0,opp,rid,RISN,Q_TotalDuration,collection,rnid,study,PID,psid,K2,med,gc,term,block,LABottomIndex,GSTopIndex,LALow,Enter Embedded Data Field Name Here...,LAHigh,LAScore,InconsistentRange,LS
"Are you currently experiencing or have you previously experienced any psychological health issues (for example, depression, bipolar, anxiety, OCD, ADD/ADHD, eating disorder, addiction, etc.)?","Are you currently experiencing or have you previously experienced any neurological health issues (for example, seizure, stroke, dementia, Alzheimer's, Parkinson's, etc.)?",What is your age?,Are you male or female?,What is the highest level of education you've completed?,What is your race/ethnicity?,"What was your total household income last year?  (If a student, select your approximate family income)",How do you feel about your general physical health these days?,Which gamble would you like to choose?,Which gamble would you like to choose?,Which gamble would you like to choose?,Which gamble would you like to choose?,Which gamble would you like to choose?,Which gamble would you like to choose?,Which gamble would you like to choose?,Which gamble would you like to choose?,Which gamble would you like to choose?,Which gamble would you like to choose?,Which gamble would you like to choose?,Which gamble would you like to choose?,Which gamble would you like to choose?,Which gamble would you like to choose?,Which gamble would you like to choose?,Which gamble would you like to choose?,Which gamble would you like to choose?,Which gamble would you like to choose?,Which gamble would you like to choose?,Which gamble would you like to choose?,Which gamble would you like to choose?,Which gamble would you like to choose?,Which gamble would you like to choose?,Which gamble would you like to choose?,Which gamble would you like to choose?,Which gamble would you like to choose?,Which gamble would you like to choose?,Which gamble would you like to choose?,Which gamble would you like to choose?,Which gamble would you like to choose?,Which gamble would you like to choose?,Which gamble would you like to choose?,Which gamble would you like to choose?,Which gamble would you like to choose?,Which gamble would you like to choose?,Which gamble would you like to choose?,Which gamble would you like to choose?,Which gamble would you like to choose?,Which gamble would you like to choose?,Which gamble would you like to choose?,Which gamble would you like to choose?,Which gamble would you like to choose?,Which gamble would you like to choose?,Which gamble would you like to choose?,Which gamble would you like to choose?,Which gamble would you like to choose?,Which gamble would you like to choose?,Which gamble would you like to choose?,Which gamble would you like to choose?,Which gamble would you like to choose?,Which gamble would you like to choose?,Which gamble would you like to choose?,Which gamble would you like to choose?,Which gamble would you like to choose?,Which gamble would you like to choose?,Which gamble would you like to choose?,Which gamble would you like to choose?,Which gamble would you like to choose?,I tried to solve the task on a gut level.,I tried to solve the task mathematically.,I tried to solve the task by focusing on how much money I could win.,I tried to solve the task by focusing on how much money I could lose.,I tried to solve the task by focusing on how likely it was that I would win.,I tried to solve the task by focusing on how likely it was that I would lose.,Have you ever made an investment where you lost some or all of the money you invested?,"If yes, how many times did this happen?",How much money did you lose in dollars (even if you were later reimbursed)?,How long ago did you make the most recent investment?,Which statement below best describes why you lost money? - Selected Choice,Which statement below best describes why you lost money? - Other: - Text,"If you were misled or defrauded, did you report it to anyone?",Why didn't you report the incident? - Selected Choice,Why didn't you report the incident? - Other: - Text,How able are you to detect a fraudulent investment? (select one),How likely are you to make a fraudulent investment? (select one),How able are you to resist high-pressure sales tactics when buying investments? (select one),"Have you ever encountered a situation in which someone was pitching a potentially fraudulent investment, but you avoided investing or losing money?  (select one)","If yes, how many times has this happened?","If yes, in which situation(s) did you encounter the potentially fraudulent investment (select one or more)",Please describe the potentially fraudulent situation(s).,"If yes, who was offering the potentially fraudulent investment? (select one or more)",Please describe who was offering the potentially fraudulent investment.,"Listed below are a number of words that describe feelings. Some of the feelings are very similar to
each other, whereas others are very different from each other. Read each word and then select how
often YOU ACTUALLY HAVE that feeling over the course of a typical week:
Over the course of a typical week, I ACTUALLY feelâ€_ - Enthusiastic","Listed below are a number of words that describe feelings. Some of the feelings are very similar to
each other, whereas others are very different from each other. Read each word and then select how
often YOU ACTUALLY HAVE that feeling over the course of a typical week:
Over the course of a typical week, I ACTUALLY feelâ€_ - Dull","Listed below are a number of words that describe feelings. Some of the feelings are very similar to
each other, whereas others are very different from each other. Read each word and then select how
often YOU ACTUALLY HAVE that feeling over the course of a typical week:
Over the course of a typical week, I ACTUALLY feelâ€_ - Excited","Listed below are a number of words that describe feelings. Some of the feelings are very similar to
each other, whereas others are very different from each other. Read each word and then select how
often YOU ACTUALLY HAVE that feeling over the course of a typical week:
Over the course of a typical week, I ACTUALLY feelâ€_ - Sleepy","Listed below are a number of words that describe feelings. Some of the feelings are very similar to
each other, whereas others are very different from each other. Read each word and then select how
often YOU ACTUALLY HAVE that feeling over the course of a typical week:
Over the course of a typical week, I ACTUALLY feelâ€_ - Strong","Listed below are a number of words that describe feelings. Some of the feelings are very similar to
each other, whereas others are very different from each other. Read each word and then select how
often YOU ACTUALLY HAVE that feeling over the course of a typical week:
Over the course of a typical week, I ACTUALLY feelâ€_ - Sluggish","Over the course of a typical week, I ACTUALLY feelâ€_ - Euphoric","Over the course of a typical week, I ACTUALLY feelâ€_ - Idle","Over the course of a typical week, I ACTUALLY feelâ€_ - Aroused","Over the course of a typical week, I ACTUALLY feelâ€_ - Rested","Over the course of a typical week, I ACTUALLY feelâ€_ - Astonished","Over the course of a typical week, I ACTUALLY feelâ€_ - Quiet","Over the course of a typical week, I ACTUALLY feelâ€_ - Surprised","Over the course of a typical week, I ACTUALLY feelâ€_ - Still","Over the course of a typical week, I ACTUALLY feelâ€_ - Passive","Over the course of a typical week, I ACTUALLY feelâ€_ - Inactive","Over the course of a typical week, I ACTUALLY feelâ€_ - Fearful","Over the course of a typical week, I ACTUALLY feelâ€_ - Calm","Over the course of a typical week, I ACTUALLY feelâ€_ - Hostile","Over the course of a typical week, I ACTUALLY feelâ€_ - Peaceful","Over the course of a typical week, I ACTUALLY feelâ€_ - Nervous","Over the course of a typical week, I ACTUALLY feelâ€_ - Relaxed","Over the course of a typical week, I ACTUALLY feelâ€_ - Elated","Over the course of a typical week, I ACTUALLY feelâ€_ - Lonely","Imagine that we roll a fair, six-sided die 1,000 times. (That would mean that we roll one die from a pair of dice.) Out of 1,000 rolls, how many times do you think the die would come up as an even number?","In the BIG BUCKS LOTTERY, the chances of winning a $10.00 prize are 1%. What is your
best guess about how many people would win a $10.00 prize if 1,000 people each buy a single
ticket from BIG BUCKS?","In the ACME PUBLISHING SWEEPSTAKES, the chance of winning a car is 1 in 1,000.
What percent of tickets of ACME PUBLISHING SWEEPSTAKES win a car?",Which of the following numbers represents the biggest risk of getting a disease?,Which of the following numbers represents the biggest risk of getting a disease?,"If Person Aâ€™s risk of getting a disease is 1% in ten years, and Person Bâ€™s risk is double that of
Aâ€™s, what is Bâ€™s risk?","If Person Aâ€™s chance of getting a disease is 1 in 100 in ten years, and person Bâ€™s risk is
double that of A, what is Bâ€™s risk?","If the chance of getting a disease is 10%, how many people would be expected to get the disease: - Out of 100?","If the chance of getting a disease is 10%, how many people would be expected to get the disease: - Out of 1000?","If the chance of getting a disease is 20 out of 100, this would be the same as having what chance of survival?","The chance of getting a viral infection is .0005. Out of 10,000 people, about how many of them are expected to get infected?",Which of the following numbers represents the biggest risk of getting a disease?,"Suppose you have a close friend who has a lump in her breast and must have a mammogram. Of 100 women like her, 10 of them actually have a malignant tumor and 90 of them do not. Of the 10 women who actually have a tumor, the mammogram indicates correctly that 9 of them have a tumor and indicates incorrectly that 1 of them does not have a tumor. Of the 90 women who do not have a tumor, the mammogram indicates correctly that 81 of them do not have a tumor and indicates incorrectly that 9 of them do have a tumor. The table below summarizes all of this information. Imagine that your friend tests positive (as if she had a tumor), what is the likelihood that she actually has a tumor?","Imagine that you are taking a class and your chances of being asked a question in class are
1% during the first week of class and double each week thereafter (i.e., you would have a
2% chance in Week 2, a 4% chance in Week 3, an 8% chance in Week 4). What is the
probability (in percent) that you will be asked a question in class during Week 7?","Suppose that 1 out of every 10,000 doctors in a certain region is infected with the SARS virus; in the same region, 20 out of every 100 people in a particular at-risk population also are infected with the virus. A test for the virus gives a positive result in 99% of those who are infected and in 1% of those who are not infected. A randomly selected doctor and a randomly selected person in the at-risk population in this region both test positive for the disease. Who is more likely to actually have the disease?",How good are you at working with bar charts?,How good are you at working with line plots?,How good are you at working with pie charts?,How good are you at inferring the size of a bar in a bar chart?,"How good are you at determining the difference between 2 bars in a bar
chart?",How good are you at projecting a future trend from a line chart?,Are graphs easier to understand than numbers?,How often do you find graphical information to be useful?,"To what extent do you believe in the saying â€˜â€˜a picture is worth one thousand
wordsâ€™â€™?","When reading books or newspapers, how helpful do you find graphs that are
part of a story?",Please enter your date of birth (mm/dd/yyyy),Score,opp,rid,RISN,Q_TotalDuration,collection,rnid,study,PID,psid,K2,med,gc,term,block,LABottomIndex,GSTopIndex,LALow,Enter Embedded Data Field Name Here...,LAHigh,LAScore,InconsistentRange,LS
"{""ImportId"":""QID1""}","{""ImportId"":""QID2""}","{""ImportId"":""QID3""}","{""ImportId"":""QID4""}","{""ImportId"":""QID5""}","{""ImportId"":""QID6""}","{""ImportId"":""QID7""}","{""ImportId"":""QID8""}","{""ImportId"":""QID352""}","{""ImportId"":""QID353""}","{""ImportId"":""QID354""}","{""ImportId"":""QID252""}","{""ImportId"":""QID255""}","{""ImportId"":""QID257""}","{""ImportId"":""QID258""}","{""ImportId"":""QID260""}","{""ImportId"":""QID262""}","{""ImportId"":""QID264""}","{""ImportId"":""QID266""}","{""ImportId"":""QID268""}","{""ImportId"":""QID250""}","{""ImportId"":""QID251""}","{""ImportId"":""QID270""}","{""ImportId"":""QID272""}","{""ImportId"":""QID274""}","{""ImportId"":""QID276""}","{""ImportId"":""QID278""}","{""ImportId"":""QID280""}","{""ImportId"":""QID282""}","{""ImportId"":""QID284""}","{""ImportId"":""QID286""}","{""ImportId"":""QID342""}","{""ImportId"":""QID343""}","{""ImportId"":""QID288""}","{""ImportId"":""QID290""}","{""ImportId"":""QID292""}","{""ImportId"":""QID294""}","{""ImportId"":""QID296""}","{""ImportId"":""QID298""}","{""ImportId"":""QID300""}","{""ImportId"":""QID302""}","{""ImportId"":""QID304""}","{""ImportId"":""QID344""}","{""ImportId"":""QID345""}","{""ImportId"":""QID306""}","{""ImportId"":""QID308""}","{""ImportId"":""QID310""}","{""ImportId"":""QID312""}","{""ImportId"":""QID314""}","{""ImportId"":""QID316""}","{""ImportId"":""QID318""}","{""ImportId"":""QID320""}","{""ImportId"":""QID322""}","{""ImportId"":""QID347""}","{""ImportId"":""QID348""}","{""ImportId"":""QID324""}","{""ImportId"":""QID326""}","{""ImportId"":""QID328""}","{""ImportId"":""QID330""}","{""ImportId"":""QID332""}","{""ImportId"":""QID334""}","{""ImportId"":""QID336""}","{""ImportId"":""QID338""}","{""ImportId"":""QID340""}","{""ImportId"":""QID349""}","{""ImportId"":""QID350""}","{""ImportId"":""QID219""}","{""ImportId"":""QID220""}","{""ImportId"":""QID221""}","{""ImportId"":""QID222""}","{""ImportId"":""QID223""}","{""ImportId"":""QID224""}","{""ImportId"":""QID173""}","{""ImportId"":""QID174_TEXT""}","{""ImportId"":""QID175_TEXT""}","{""ImportId"":""QID176""}","{""ImportId"":""QID177""}","{""ImportId"":""QID177_5_TEXT""}","{""ImportId"":""QID178""}","{""ImportId"":""QID179""}","{""ImportId"":""QID179_6_TEXT""}","{""ImportId"":""QID10""}","{""ImportId"":""QID11""}","{""ImportId"":""QID12""}","{""ImportId"":""QID13""}","{""ImportId"":""QID14_TEXT""}","{""ImportId"":""QID15""}","{""ImportId"":""QID16_TEXT""}","{""ImportId"":""QID17""}","{""ImportId"":""QID18_TEXT""}","{""ImportId"":""QID198_1""}","{""ImportId"":""QID198_2""}","{""ImportId"":""QID198_3""}","{""ImportId"":""QID198_4""}","{""ImportId"":""QID198_5""}","{""ImportId"":""QID198_6""}","{""ImportId"":""QID199_7""}","{""ImportId"":""QID199_8""}","{""ImportId"":""QID199_9""}","{""ImportId"":""QID199_10""}","{""ImportId"":""QID199_11""}","{""ImportId"":""QID199_12""}","{""ImportId"":""QID200_32""}","{""ImportId"":""QID200_33""}","{""ImportId"":""QID200_34""}","{""ImportId"":""QID200_1""}","{""ImportId"":""QID200_19""}","{""ImportId"":""QID200_21""}","{""ImportId"":""QID248_32""}","{""ImportId"":""QID248_33""}","{""ImportId"":""QID248_34""}","{""ImportId"":""QID248_1""}","{""ImportId"":""QID248_19""}","{""ImportId"":""QID248_21""}","{""ImportId"":""QID204_TEXT""}","{""ImportId"":""QID205_TEXT""}","{""ImportId"":""QID206_TEXT""}","{""ImportId"":""QID207""}","{""ImportId"":""QID208""}","{""ImportId"":""QID209_TEXT""}","{""ImportId"":""QID210_TEXT""}","{""ImportId"":""QID211_1""}","{""ImportId"":""QID211_2""}","{""ImportId"":""QID212_TEXT""}","{""ImportId"":""QID213_TEXT""}","{""ImportId"":""QID214""}","{""ImportId"":""QID215_TEXT""}","{""ImportId"":""QID216_TEXT""}","{""ImportId"":""QID217""}","{""ImportId"":""QID225""}","{""ImportId"":""QID226""}","{""ImportId"":""QID227""}","{""ImportId"":""QID228""}","{""ImportId"":""QID229""}","{""ImportId"":""QID230""}","{""ImportId"":""QID231""}","{""ImportId"":""QID232""}","{""ImportId"":""QID233""}","{""ImportId"":""QID234""}","{""ImportId"":""QID249_TEXT""}","{""ImportId"":""SC_a0590xGaIgVQREh""}","{""ImportId"":""opp""}","{""ImportId"":""rid""}","{""ImportId"":""RISN""}","{""ImportId"":""Q_TotalDuration""}","{""ImportId"":""collection""}","{""ImportId"":""rnid""}","{""ImportId"":""study""}","{""ImportId"":""PID""}","{""ImportId"":""psid""}","{""ImportId"":""K2""}","{""ImportId"":""med""}","{""ImportId"":""gc""}","{""ImportId"":""term""}","{""ImportId"":""block""}","{""ImportId"":""LABottomIndex""}","{""ImportId"":""GSTopIndex""}","{""ImportId"":""LALow""}","{""ImportId"":""Enter Embedded Data Field Name Here...""}","{""ImportId"":""LAHigh""}","{""ImportId"":""LAScore""}","{""ImportId"":""InconsistentRange""}","{""ImportId"":""LS""}"
2,2,53,1,6,1,10,4,1,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,2,2,2,2,2,2,2,2,1,2,,,,,,,,,,,,3,4,4,4,4,4,1,10,50000,1,1,,2,2,,4,4,3,2,,,,,,4,2,4,2,4,2,3,3,4,4,3,4,2,2,3,3,2,4,2,4,2,4,4,2,500,10,1,3,2,2,2,10,100,80,5,1,10%,64,3,4,4,4,4,4,4,4,4,4,4,11/11/46,6,Qual2331-0715RandomizerN200,,,852,new,,,1504439884,KgdVRtFeTWyOrY7PxG0gng**,76664,2.26E+13,1,,4,0,1,0.5,,0.5,0.5,1,{Invalid Expression}
2,2,36,2,5,2,7,5,1,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,1,1,1,1,1,1,1,1,1,1,,,,,,,,,,,,4,4,4,4,4,4,1,2,500,4,2,,2,6,was a friend,4,3,3,2,,,,,,4,2,4,3,4,1,2,2,2,4,2,3,1,1,4,4,4,4,1,3,1,4,4,5,8,40,40,2,1,2%,1 n 10,2,3,40,1,1,none,3,2,3,4,4,3,3,3,3,3,3,3,11/19/63,4,Qual2331-0715RandomizerN200,,,713,new,,,1528954330,KgdVRtFeTWyfk_py7rlO5g**,76664,2.30E+13,1,,4,0,1,0.5,,0.5,0.5,1,{Invalid Expression}
2,2,25,1,3,3,16,3,1,1,2,2,2,2,2,1,1,1,1,1,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,4,4,4,4,4,1,3,30000,2,1,,2,2,,5,2,6,1,5,3,,1,,4,2,3,3,3,3,2,4,2,3,2,4,2,3,3,3,1,4,2,4,2,4,2,2,500,1,1,3,2,2,50,10,1,80,5,1,90,128,1,4,4,4,4,4,4,4,5,3,3,5/25/75,3,Qual2331-0715RandomizerN200,,,443,new,,,1568574756,KgdVRtFeTWyMiAn_Errpeg**,76664,2.36E+13,1,,1,0,1,0.5,,0.5,0.5,1,{Invalid Expression}
2,2,52,1,5,1,9,4,1,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,2,1,1,1,1,2,2,1,2,,,,,,,,,,,,2,4,2,2,4,4,1,5,1000,1,1,,2,2,,6,2,6,2,,,,,,3,2,3,2,4,3,2,3,2,3,1,4,2,3,3,3,1,4,1,4,1,5,2,1,50,10,1,3,2,2%,2 in 100,10,100,80 out of 100,5,1,10%,64,3,5,5,5,5,5,5,5,4,3,3,4/29/48,6,Qual2331-0715RandomizerN200,,,2353,new,,,1504673926,KgdVRtFeTWwP0_xc9s8VEQ**,76664,2.26E+13,1,,4,0,1,0.5,,0.5,0.5,1,{Invalid Expression}
2,2,19,2,4,1,7,3,1,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,2,2,2,2,2,1,1,1,1,2,4,4,4,4,4,4,1,1,5,2,3,,2,2,,2,4,3,2,,,,,,2,3,2,4,3,3,2,2,2,2,2,4,2,3,2,2,2,3,2,3,2,3,2,2,500,10,0.1,3,2,2%,2 in 100,10,100,80,0.01,1,0.18,64,1,4,4,4,4,5,4,5,5,4,4,4/24/81,2,Qual2331-0715RandomizerN200,,,1154,new,,,1517112225,KgdVRtFeTWwgBwBWKxHjeQ**,76664,2.28E+13,1,,5,0,1,0.5,,0.5,0.5,1,{Invalid Expression}
2,2,31,1,4,1,16,3,2,1,2,,,,,,,,,,,,1,1,1,1,1,1,1,1,1,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,4,4,3,4,3,1,3,8000,3,2,,2,4,,3,2,6,2,,,,,,2,3,2,3,3,3,2,3,3,3,2,4,2,3,3,3,2,5,2,3,1,5,2,2,500,10,0.1,3,2,2%,2%,10,100,80,5,1,10,64,1,4,4,4,4,4,4,5,5,4,4,1/17/69,4,Qual2331-0715RandomizerN200,,,1041,new,,,1501031006,KgdVRtFeTWx2k5bN6JzBZA**,76664,2.26E+13,1,,2,0,1,0.5,,0.5,0.5,1,{Invalid Expression}
2,2,51,2,2,1,10,5,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,2,2,2,2,2,2,2,2,1,2,,,,,,,,,,,,5,5,5,5,5,5,1,1,200,1,1,,2,3,,4,4,4,2,,,,,,5,2,5,2,5,2,5,3,4,4,2,3,2,2,2,3,2,4,2,4,1,5,5,1,10,1,1,3,2,20,20,1,10,20,0.1,1,10,20,3,4,4,4,4,4,4,5,4,5,5,2/15/49,6,Qual2331-0715RandomizerN200,,,411,new,,,1506667545,KgdVRtFeTWwwLpLIbk3OHQ**,76664,2.26E+13,1,,4,0,1,0.5,,0.5,0.5,1,{Invalid Expression}
2,2,58,1,6,1,14,3,1,2,2,,,,,,,,,,,,,,,,,,,,,,,2,2,2,2,2,2,2,2,2,1,2,,,,,,,,,,,,,,,,,,,,,,,3,3,4,4,2,2,1,2,1000,4,3,,2,2,,1,4,6,2,,,,,,3,3,2,3,2,4,2,4,3,3,3,4,2,3,2,2,2,3,1,2,1,3,3,2,500,10,0.1,3,2,2%,2%,10,100,80%,5,1,90%,64,2,6,6,6,6,6,6,6,5,3,5,4/29/42,6,Qual2331-0715RandomizerN200,,,1087,new,,,1343254405,KgdVRtFeTWytGBrU54reeA**,76664,2.02E+13,1,,3,0,1,0.5,,0.5,0.5,1,{Invalid Expression}
